Pango lineage,,,,,,,,,,,,,,,,,,,
taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note,pango_lineage_unaliased,sample,method,depth
Consensus_UT-UPHL-240207765559_bbnorm_500_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.1.4(1/1),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,bbnorm,500
Consensus_UT-UPHL-240207765559_bbnorm_50_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.1.4(1/1),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,bbnorm,50
Consensus_UT-UPHL-240207765559_raw_all_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.1.4(2/2),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,raw,all
Consensus_UT-UPHL-240207765559_seqkit_10000_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.1.4(1/1),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,seqkit,10000
Consensus_UT-UPHL-240207765559_seqkit_1000_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.1.4(1/1),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,seqkit,1000
Consensus_UT-UPHL-240207765559_seqkit_100_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.03,Usher placements: JN.1.1.4(1/1),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,seqkit,100
Consensus_UT-UPHL-240207765559_seqkit_10_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.64,,Unassigned,UT-UPHL-240207765559,seqkit,10
Consensus_UT-UPHL-240207765559_seqkit_200_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.1.4(1/1),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,seqkit,200
Consensus_UT-UPHL-240207765559_seqkit_300_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.1.4(1/1),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,seqkit,300
Consensus_UT-UPHL-240207765559_seqkit_30_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.82,0.03,scorpio call: Alt alleles 51; Ref alleles 2; Amb alleles 7; Oth alleles 2,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.15,Usher placements: JN.1.1.4(1/1),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,seqkit,30
Consensus_UT-UPHL-240207765559_seqkit_400_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.1.4(1/1),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,seqkit,400
Consensus_UT-UPHL-240207765559_seqkit_5000_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.1.4(1/1),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,seqkit,5000
Consensus_UT-UPHL-240207765559_seqkit_500_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.1.4(1/1),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,seqkit,500
Consensus_UT-UPHL-240207765559_seqkit_50_threshold_0.6_quality_20,JN.1.1.4,0,,Omicron (BA.2-like),0.9,0.03,scorpio call: Alt alleles 56; Ref alleles 2; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.06,Usher placements: JN.1.1.4(1/1),B.1.1.529.2.86.1.1.1.4,UT-UPHL-240207765559,seqkit,50
Consensus_UT-UPHL-240207794398_bbnorm_10000_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,bbnorm,10000
Consensus_UT-UPHL-240207794398_bbnorm_1000_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,bbnorm,1000
Consensus_UT-UPHL-240207794398_bbnorm_100_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.87,0.03,scorpio call: Alt alleles 54; Ref alleles 2; Amb alleles 3; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.12,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,bbnorm,100
Consensus_UT-UPHL-240207794398_bbnorm_10_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.35,,Unassigned,UT-UPHL-240207794398,bbnorm,10
Consensus_UT-UPHL-240207794398_bbnorm_200_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,bbnorm,200
Consensus_UT-UPHL-240207794398_bbnorm_300_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,bbnorm,300
Consensus_UT-UPHL-240207794398_bbnorm_30_threshold_0.6_quality_20,Unassigned,,,Omicron (Unassigned),0.69,0,scorpio call: Alt alleles 22; Ref alleles 0; Amb alleles 5; Oth alleles 5,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.35,,Unassigned,UT-UPHL-240207794398,bbnorm,30
Consensus_UT-UPHL-240207794398_bbnorm_400_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,bbnorm,400
Consensus_UT-UPHL-240207794398_bbnorm_5000_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,bbnorm,5000
Consensus_UT-UPHL-240207794398_bbnorm_500_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,bbnorm,500
Consensus_UT-UPHL-240207794398_bbnorm_50_threshold_0.6_quality_20,JN.1.2,0,,Omicron (Unassigned),0.81,0,scorpio call: Alt alleles 26; Ref alleles 0; Amb alleles 3; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.28,Usher placements: JN.1.2(1/1); scorpio found insufficient support to assign a specific lineage,B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,bbnorm,50
Consensus_UT-UPHL-240207794398_raw_all_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,raw,all
Consensus_UT-UPHL-240207794398_seqkit_10000_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,seqkit,10000
Consensus_UT-UPHL-240207794398_seqkit_1000_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,seqkit,1000
Consensus_UT-UPHL-240207794398_seqkit_100_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.84,0.03,scorpio call: Alt alleles 52; Ref alleles 2; Amb alleles 5; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.1,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,seqkit,100
Consensus_UT-UPHL-240207794398_seqkit_10_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.66,,Unassigned,UT-UPHL-240207794398,seqkit,10
Consensus_UT-UPHL-240207794398_seqkit_200_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.87,0.03,scorpio call: Alt alleles 54; Ref alleles 2; Amb alleles 3; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.07,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,seqkit,200
Consensus_UT-UPHL-240207794398_seqkit_300_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.87,0.03,scorpio call: Alt alleles 54; Ref alleles 2; Amb alleles 3; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.06,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,seqkit,300
Consensus_UT-UPHL-240207794398_seqkit_30_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.73,0.03,scorpio call: Alt alleles 45; Ref alleles 2; Amb alleles 12; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.26,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,seqkit,30
Consensus_UT-UPHL-240207794398_seqkit_400_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.9,0.03,scorpio call: Alt alleles 56; Ref alleles 2; Amb alleles 1; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.03,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,seqkit,400
Consensus_UT-UPHL-240207794398_seqkit_5000_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,seqkit,5000
Consensus_UT-UPHL-240207794398_seqkit_500_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,seqkit,500
Consensus_UT-UPHL-240207794398_seqkit_50_threshold_0.6_quality_20,JN.1.2,0,,Omicron (BA.2-like),0.82,0.03,scorpio call: Alt alleles 51; Ref alleles 2; Amb alleles 6; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.16,Usher placements: JN.1.2(1/1),B.1.1.529.2.86.1.1.2,UT-UPHL-240207794398,seqkit,50
Consensus_UT-UPHL-240207797602_bbnorm_10000_threshold_0.6_quality_20,FY.5.5,0,,Omicron (XBB.1-like),0.9,0.01,scorpio call: Alt alleles 76; Ref alleles 1; Amb alleles 3; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.05,Usher placements: FY.5.5(1/1),XBB.1.22.1.5.5,UT-UPHL-240207797602,bbnorm,10000
Consensus_UT-UPHL-240207797602_bbnorm_1000_threshold_0.6_quality_20,Unassigned,,,Omicron (Unassigned),0.69,0,scorpio call: Alt alleles 22; Ref alleles 0; Amb alleles 8; Oth alleles 2,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.45,,Unassigned,UT-UPHL-240207797602,bbnorm,1000
Consensus_UT-UPHL-240207797602_bbnorm_100_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.89,,Unassigned,UT-UPHL-240207797602,bbnorm,100
Consensus_UT-UPHL-240207797602_bbnorm_10_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,failed to map,,Unassigned,UT-UPHL-240207797602,bbnorm,10
Consensus_UT-UPHL-240207797602_bbnorm_200_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.87,,Unassigned,UT-UPHL-240207797602,bbnorm,200
Consensus_UT-UPHL-240207797602_bbnorm_300_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.89,,Unassigned,UT-UPHL-240207797602,bbnorm,300
Consensus_UT-UPHL-240207797602_bbnorm_30_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.94,,Unassigned,UT-UPHL-240207797602,bbnorm,30
Consensus_UT-UPHL-240207797602_bbnorm_400_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.88,,Unassigned,UT-UPHL-240207797602,bbnorm,400
Consensus_UT-UPHL-240207797602_bbnorm_5000_threshold_0.6_quality_20,FY.5.5,0,,Omicron (XBB.1-like),0.9,0.01,scorpio call: Alt alleles 76; Ref alleles 1; Amb alleles 3; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.04,Usher placements: FY.5.5(1/1),XBB.1.22.1.5.5,UT-UPHL-240207797602,bbnorm,5000
Consensus_UT-UPHL-240207797602_bbnorm_500_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.81,,Unassigned,UT-UPHL-240207797602,bbnorm,500
Consensus_UT-UPHL-240207797602_bbnorm_50_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.9,,Unassigned,UT-UPHL-240207797602,bbnorm,50
Consensus_UT-UPHL-240207797602_raw_all_threshold_0.6_quality_20,FY.5.5,0,,Omicron (XBB.1-like),0.86,0.01,scorpio call: Alt alleles 72; Ref alleles 1; Amb alleles 6; Oth alleles 5,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.07,Usher placements: FY.5.5(1/1),XBB.1.22.1.5.5,UT-UPHL-240207797602,raw,all
Consensus_UT-UPHL-240207797602_seqkit_10000_threshold_0.6_quality_20,FY.5.5,0,,Omicron (XBB.1-like),0.87,0.01,scorpio call: Alt alleles 73; Ref alleles 1; Amb alleles 6; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.06,Usher placements: FY.5.5(1/1),XBB.1.22.1.5.5,UT-UPHL-240207797602,seqkit,10000
Consensus_UT-UPHL-240207797602_seqkit_1000_threshold_0.6_quality_20,FY.5.5,0,,Omicron (XBB.1-like),0.85,0.01,scorpio call: Alt alleles 71; Ref alleles 1; Amb alleles 8; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.1,Usher placements: FY.5.5(1/1),XBB.1.22.1.5.5,UT-UPHL-240207797602,seqkit,1000
Consensus_UT-UPHL-240207797602_seqkit_100_threshold_0.6_quality_20,FY.5.5,0,,Omicron (XBB.1-like),0.81,0.01,scorpio call: Alt alleles 68; Ref alleles 1; Amb alleles 11; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.16,Usher placements: FY.5.5(1/1),XBB.1.22.1.5.5,UT-UPHL-240207797602,seqkit,100
Consensus_UT-UPHL-240207797602_seqkit_10_threshold_0.6_quality_20,Unassigned,,,,,,,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.63,,Unassigned,UT-UPHL-240207797602,seqkit,10
Consensus_UT-UPHL-240207797602_seqkit_200_threshold_0.6_quality_20,FY.5.5,0,,Omicron (XBB.1-like),0.85,0.01,scorpio call: Alt alleles 71; Ref alleles 1; Amb alleles 8; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.12,Usher placements: FY.5.5(1/1),XBB.1.22.1.5.5,UT-UPHL-240207797602,seqkit,200
Consensus_UT-UPHL-240207797602_seqkit_300_threshold_0.6_quality_20,FY.5.5,0,,Omicron (XBB.1-like),0.86,0.01,scorpio call: Alt alleles 72; Ref alleles 1; Amb alleles 6; Oth alleles 5,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.1,Usher placements: FY.5.5(1/1),XBB.1.22.1.5.5,UT-UPHL-240207797602,seqkit,300
Consensus_UT-UPHL-240207797602_seqkit_30_threshold_0.6_quality_20,Unassigned,,,Probable Omicron (Unassigned),0.59,0,scorpio call: Alt alleles 19; Ref alleles 0; Amb alleles 12; Oth alleles 1,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,fail,Ambiguous_content:0.31,,Unassigned,UT-UPHL-240207797602,seqkit,30
Consensus_UT-UPHL-240207797602_seqkit_400_threshold_0.6_quality_20,FY.5.5,0,,Omicron (XBB.1-like),0.88,0.01,scorpio call: Alt alleles 74; Ref alleles 1; Amb alleles 5; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.08,Usher placements: FY.5.5(1/1),XBB.1.22.1.5.5,UT-UPHL-240207797602,seqkit,400
Consensus_UT-UPHL-240207797602_seqkit_5000_threshold_0.6_quality_20,FY.5.5,0,,Omicron (XBB.1-like),0.87,0.01,scorpio call: Alt alleles 73; Ref alleles 1; Amb alleles 6; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.07,Usher placements: FY.5.5(1/1),XBB.1.22.1.5.5,UT-UPHL-240207797602,seqkit,5000
Consensus_UT-UPHL-240207797602_seqkit_500_threshold_0.6_quality_20,FY.5.5,0,,Omicron (XBB.1-like),0.88,0.01,scorpio call: Alt alleles 74; Ref alleles 1; Amb alleles 4; Oth alleles 5,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.06,Usher placements: FY.5.5(1/1),XBB.1.22.1.5.5,UT-UPHL-240207797602,seqkit,500
Consensus_UT-UPHL-240207797602_seqkit_50_threshold_0.6_quality_20,FY.5.5,0,,Omicron (XBB.1-like),0.75,0.01,scorpio call: Alt alleles 63; Ref alleles 1; Amb alleles 16; Oth alleles 4,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.24,Usher placements: FY.5.5(1/1),XBB.1.22.1.5.5,UT-UPHL-240207797602,seqkit,50
Consensus_UT-UPHL-250307134790_bbnorm_10000_threshold_0.6_quality_20,LF.7.1.2,0,,Omicron (BA.2-like),0.82,0.02,scorpio call: Alt alleles 51; Ref alleles 1; Amb alleles 8; Oth alleles 2,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.06,Usher placements: LF.7.1.2(1/1),B.1.1.529.2.86.1.1.16.1.7.1.2,UT-UPHL-250307134790,bbnorm,10000
Consensus_UT-UPHL-250307134790_bbnorm_1000_threshold_0.6_quality_20,LF.7.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.05,Usher placements: LF.7.1.2(1/1),B.1.1.529.2.86.1.1.16.1.7.1.2,UT-UPHL-250307134790,bbnorm,1000
Consensus_UT-UPHL-250307134790_bbnorm_100_threshold_0.6_quality_20,LF.7.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: LF.7.1.2(1/1),B.1.1.529.2.86.1.1.16.1.7.1.2,UT-UPHL-250307134790,bbnorm,100
Consensus_UT-UPHL-250307134790_bbnorm_10_threshold_0.6_quality_20,LF.7.1.2,0,,Omicron (BA.2-like),0.87,0.03,scorpio call: Alt alleles 54; Ref alleles 2; Amb alleles 3; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.06,Usher placements: LF.7.1.2(1/1),B.1.1.529.2.86.1.1.16.1.7.1.2,UT-UPHL-250307134790,bbnorm,10
Consensus_UT-UPHL-250307134790_bbnorm_200_threshold_0.6_quality_20,LF.7.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: LF.7.1.2(1/1),B.1.1.529.2.86.1.1.16.1.7.1.2,UT-UPHL-250307134790,bbnorm,200
Consensus_UT-UPHL-250307134790_bbnorm_300_threshold_0.6_quality_20,LF.7.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: LF.7.1.2(1/1),B.1.1.529.2.86.1.1.16.1.7.1.2,UT-UPHL-250307134790,bbnorm,300
Consensus_UT-UPHL-250307134790_bbnorm_30_threshold_0.6_quality_20,LF.7.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: LF.7.1.2(1/1),B.1.1.529.2.86.1.1.16.1.7.1.2,UT-UPHL-250307134790,bbnorm,30
Consensus_UT-UPHL-250307134790_bbnorm_400_threshold_0.6_quality_20,LF.7.1.2,0,,Omicron (BA.2-like),0.92,0.03,scorpio call: Alt alleles 57; Ref alleles 2; Amb alleles 0; Oth alleles 3,PUSHER-v1.34,4.3.1,0.3.19,v0.1.12,FALSE,pass,Ambiguous_content:0.02,Usher placements: LF.7.1.2(1/1),B.1.1.529.2.86.1.1.16.1.7.1.2,UT-UPHL-250307134790,bbnorm,400
